Instance;Alpha_Depart;Mode;Runs;Taille_Clique;Temps_ms
c-fat/c-fat500-10.clq;0.05;Fixe;1;125;590.905
c-fat/c-fat500-10.clq;0.05;Adaptatif;1;125;1313.36
c-fat/c-fat500-10.clq;0.05;Fixe;10;126;5855.29
c-fat/c-fat500-10.clq;0.05;Adaptatif;10;126;13271.8
c-fat/c-fat500-10.clq;0.1;Fixe;1;125;607.364
c-fat/c-fat500-10.clq;0.1;Adaptatif;1;125;1257.5
c-fat/c-fat500-10.clq;0.1;Fixe;10;126;5960.32
c-fat/c-fat500-10.clq;0.1;Adaptatif;10;126;12695.6
gen/gen200_p0.9_44.clq;0.01;Fixe;1;33;112.942
gen/gen200_p0.9_44.clq;0.01;Adaptatif;1;35;321.818
gen/gen200_p0.9_44.clq;0.01;Fixe;10;36;1189.08
gen/gen200_p0.9_44.clq;0.01;Adaptatif;10;37;3127.96
gen/gen200_p0.9_44.clq;0.05;Fixe;1;33;117.899
gen/gen200_p0.9_44.clq;0.05;Adaptatif;1;35;315.586
gen/gen200_p0.9_44.clq;0.05;Fixe;10;36;1166.44
gen/gen200_p0.9_44.clq;0.05;Adaptatif;10;37;2763.11
gen/gen200_p0.9_44.clq;0.1;Fixe;1;33;114.029
gen/gen200_p0.9_44.clq;0.1;Adaptatif;1;35;268.22
gen/gen200_p0.9_44.clq;0.1;Fixe;10;36;1149.79
gen/gen200_p0.9_44.clq;0.1;Adaptatif;10;37;2527.67
gen/gen200_p0.9_55.clq;0.01;Fixe;1;37;111.332
gen/gen200_p0.9_55.clq;0.01;Adaptatif;1;37;285.419
gen/gen200_p0.9_55.clq;0.01;Fixe;10;39;1123.14
gen/gen200_p0.9_55.clq;0.01;Adaptatif;10;39;3832.95
gen/gen200_p0.9_55.clq;0.05;Fixe;1;37;115.205
gen/gen200_p0.9_55.clq;0.05;Adaptatif;1;37;244.162
gen/gen200_p0.9_55.clq;0.05;Fixe;10;39;1138.5
gen/gen200_p0.9_55.clq;0.05;Adaptatif;10;39;2565.74
gen/gen200_p0.9_55.clq;0.1;Fixe;1;37;114.205
gen/gen200_p0.9_55.clq;0.1;Adaptatif;1;37;236.856
gen/gen200_p0.9_55.clq;0.1;Fixe;10;39;1164.38
gen/gen200_p0.9_55.clq;0.1;Adaptatif;10;39;2495.76
gen/gen400_p0.9_55.clq;0.01;Fixe;1;49;471.92
gen/gen400_p0.9_55.clq;0.01;Adaptatif;1;49;1116.87
gen/gen400_p0.9_55.clq;0.01;Fixe;10;49;4420.26
gen/gen400_p0.9_55.clq;0.01;Adaptatif;10;49;11929.3
gen/gen400_p0.9_55.clq;0.05;Fixe;1;49;435.332
gen/gen400_p0.9_55.clq;0.05;Adaptatif;1;49;962.158
gen/gen400_p0.9_55.clq;0.05;Fixe;10;49;4335.01
gen/gen400_p0.9_55.clq;0.05;Adaptatif;10;49;10407.8
gen/gen400_p0.9_55.clq;0.1;Fixe;1;49;429.89
gen/gen400_p0.9_55.clq;0.1;Adaptatif;1;48;955.418
gen/gen400_p0.9_55.clq;0.1;Fixe;10;49;4378.75
gen/gen400_p0.9_55.clq;0.1;Adaptatif;10;48;10073.5
